beta	gamma	ROC-AUC
10	0.0	0.8969
10	0.25	0.8640
10	0.5	0.8810
10	0.75	0.9011
10	1.0	0.8806
1	0.0	0.8756
1	0.25	0.8814
1	0.5	0.9043
1	0.75	0.8835
1	1.0	0.8619
0.1	0.0	0.8941
0.1	0.25	0.8905
0.1	0.5	0.8925
0.1	0.75	0.8808
0.1	1.0	0.8910
0.01	0.0	0.8985
0.01	0.25	0.8831
0.01	0.5	0.9103
0.01	0.75	0.8890
0.01	1.0	0.8859
0.001	0.0	0.8719
0.001	0.25	0.8760
0.001	0.5	0.8640
0.001	0.75	0.8376
0.001	1.0	0.8826
0.0001	0.0	0.8712
0.0001	0.25	0.8906
0.0001	0.5	0.8748
0.0001	0.75	0.8999
0.0001	1.0	0.8997

Best Parameters: {'beta': 0.01, 'gamma': 0.5}
Best ROC-AUC: 0.9103350970017637
